n_qubits,sample,entropy_raw,entropy_norm,circuit_type,test,renyi_2,renyi_norm,purity,depth,qubit_i,qubit_j,distance,mutual_info,test_type,correlation,shots,error_rate,mitigated,correlation_avg_ones,correlation_zz_norm,mutual_info_approx,norm_theoretical,norm_observed,norm_num_states
4,143,3.453047558528182,0.8632618896320455,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,144,3.3248232562400486,0.8312058140600121,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,145,3.2223195539088496,0.8055798884772124,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,146,3.507747246621547,0.8769368116553867,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,147,3.3713649285846023,0.8428412321461506,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,148,3.129595454385804,0.782398863596451,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,149,3.3571795348703994,0.8392948837175999,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,150,3.401427675888617,0.8503569189721543,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,151,3.5365944904150353,0.8841486226037588,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,152,3.287790524715396,0.821947631178849,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,153,3.2630337989942833,0.8157584497485708,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,154,3.363196587113727,0.8407991467784317,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,155,3.4565321163628635,0.8641330290907159,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,156,3.3175248967111295,0.8293812241777824,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,157,3.4602910163014524,0.8650727540753631,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,158,3.5063593719152526,0.8765898429788131,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,159,3.4070928446732056,0.8517732111683014,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,160,3.0043638140590936,0.7510909535147734,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,161,3.542270186364449,0.8855675465911123,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,162,3.638011471628881,0.9095028679072202,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,163,3.3636139908063885,0.8409034977015971,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,164,3.561578735535452,0.890394683883863,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,165,3.6036926371743685,0.9009231592935921,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,166,3.489832766638313,0.8724581916595783,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,167,3.5936603402441913,0.8984150850610478,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,168,3.6309297682007693,0.9077324420501923,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,169,3.4248266482793093,0.8562066620698273,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,170,3.377544578221273,0.8443861445553182,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,171,3.1884715702408597,0.7971178925602149,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,172,3.5710520894752085,0.8927630223688021,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,173,3.412228712452554,0.8530571781131385,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,174,3.6545138303115947,0.9136284575778987,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,175,3.018882450315962,0.7547206125789905,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,176,3.586744364283023,0.8966860910707557,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,177,3.5376177397392166,0.8844044349348041,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,178,2.9545279444135115,0.7386319861033779,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,179,3.583684108596203,0.8959210271490508,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,180,3.5085058563924267,0.8771264640981067,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,181,3.3931145064706745,0.8482786266176686,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,182,3.368495048503454,0.8421237621258635,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,183,3.429206577803696,0.857301644450924,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,184,3.6262596525925814,0.9065649131481454,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,185,3.338564957766793,0.8346412394416982,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,186,3.4100461291226387,0.8525115322806597,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,187,3.039971108926942,0.7599927772317355,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,188,3.4609944822161105,0.8652486205540276,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,189,3.254800752467063,0.8137001881167657,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,190,3.440008803569791,0.8600022008924477,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,191,3.3210063587938827,0.8302515896984707,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,192,3.6444416711070784,0.9111104177767696,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,193,3.280993429826511,0.8202483574566277,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,194,3.4166335724003343,0.8541583931000836,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,195,3.5521273583488955,0.8880318395872239,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,196,3.452800903825149,0.8632002259562872,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,197,3.642799481990619,0.9106998704976548,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,198,3.424878350725639,0.8562195876814097,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,199,3.514809393272717,0.8787023483181793,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,0,5.299688544577903,0.8832814240963173,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,1,5.5185609865913925,0.9197601644318988,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,2,5.516292850501812,0.919382141750302,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,3,5.473002750322464,0.912167125053744,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,4,5.4463992661733025,0.9077332110288837,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,5,5.482788539251197,0.9137980898751995,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,6,5.538488510797616,0.9230814184662693,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,7,5.273594665738934,0.8789324442898224,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,8,5.437178041432577,0.9061963402387628,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,9,5.49780477753083,0.9163007962551384,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,10,5.409448769249527,0.9015747948749211,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,11,5.261530756295561,0.8769217927159269,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,12,5.44840381163089,0.9080673019384817,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,13,5.234103516495741,0.8723505860826234,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,14,5.395438832348073,0.8992398053913454,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,15,5.222774610973187,0.8704624351621978,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,16,5.424343213864009,0.9040572023106681,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,17,5.360984010637774,0.8934973351062957,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,18,5.374489458850292,0.8957482431417153,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,19,5.429755580944033,0.9049592634906722,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,20,5.519155172455311,0.9198591954092185,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,21,5.299558066108675,0.8832596776847792,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,22,5.536295372482569,0.9227158954137615,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,23,5.3479821429950505,0.8913303571658417,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,24,5.316849635028425,0.8861416058380708,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,25,5.4478711593225055,0.9079785265537509,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,26,5.379265865440214,0.8965443109067023,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,27,5.3010743995652545,0.8835123999275424,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,28,5.376418433293037,0.8960697388821729,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,29,5.300546114346323,0.8834243523910539,haar_like,test1,,,,,,,,,,,,,,,,,,,
